trial_number,value,datetime_start,datetime_complete,duration_seconds,dropout,lr,weight_decay,batch_norm
0,1.0,2025-11-10 03:11:04.272812,2025-11-10 03:11:05.344450,1.071638,0.49104453500810935,0.0004982400581087918,3.4553491641991386e-05,True
1,1.0,2025-11-10 03:11:05.369167,2025-11-10 03:11:06.441318,1.072151,0.2998973737725094,0.00045610720824229816,0.0006714181468107633,True
2,1.0,2025-11-10 03:11:06.464857,2025-11-10 03:11:07.542326,1.077469,0.05798333617934781,0.00011001050684806506,1.0315481160629418e-05,True
3,1.0,2025-11-10 03:11:07.565789,2025-11-10 03:11:08.630353,1.064564,0.3658578113489491,0.004324923820802801,0.001410857027372536,True
4,1.0,2025-11-10 03:11:08.653765,2025-11-10 03:11:09.722724,1.068959,0.2804595381367848,0.00021945698701031528,0.0002464776149047387,True
5,1.0,2025-11-10 03:11:09.746084,2025-11-10 03:11:10.809096,1.063012,0.37450787197471164,0.0008592989035652739,0.0002070276562166082,True
6,1.0,2025-11-10 03:11:10.832391,2025-11-10 03:11:11.892183,1.059792,0.12155197449983135,0.000731781067065344,0.00038140336429030457,True
7,1.0,2025-11-10 03:11:11.915662,2025-11-10 03:11:12.981616,1.065954,0.15044690902872748,0.0007092283317498868,0.003874319574140996,False
8,1.0,2025-11-10 03:11:13.005011,2025-11-10 03:11:14.079527,1.074516,0.3083821585470158,0.0022388714603718213,0.002429237571613169,True
9,1.0,2025-11-10 03:11:14.103012,2025-11-10 03:11:15.166257,1.063245,0.44139620582715455,0.0009857979982709334,7.515609603259248e-05,True
10,1.0,2025-11-10 03:11:15.189898,2025-11-10 03:11:16.255035,1.065137,0.4961775705929576,0.009056961557177811,1.2761952520530797e-05,False
11,1.0,2025-11-10 03:11:16.276730,2025-11-10 03:11:17.339394,1.062664,0.187961115803223,0.0003125152638700392,4.81447310855356e-05,False
12,1.0,2025-11-10 03:11:17.360814,2025-11-10 03:11:18.426616,1.065802,0.22860262104977774,0.0003625567448584442,0.0008748250997219914,True
13,1.0,2025-11-10 03:11:18.448103,2025-11-10 03:11:19.510423,1.06232,0.40899176371840873,0.0021852286903626763,5.8350480532300544e-05,True
14,1.0,2025-11-10 03:11:19.531940,2025-11-10 03:11:20.609377,1.077437,0.49362176901712107,0.00016041750732951558,0.008068871064462952,False
15,1.0,2025-11-10 03:11:20.630824,2025-11-10 03:11:21.702295,1.071471,0.32838259844547285,0.00037691590793772096,0.0006012732821573986,True
16,1.0,2025-11-10 03:11:21.723965,2025-11-10 03:11:22.793838,1.069873,0.23646162408808585,0.0005027766912377444,0.00016427720282566075,True
17,1.0,2025-11-10 03:11:22.815434,2025-11-10 03:11:23.878858,1.063424,0.004558395308936036,0.0016322206657574552,2.279982174313255e-05,True
18,1.0,2025-11-10 03:11:23.900504,2025-11-10 03:11:24.963576,1.063072,0.4513324724472726,0.001391184495574581,0.00010329693560215544,False
19,1.0,2025-11-10 03:11:24.985190,2025-11-10 03:11:26.053703,1.068513,0.36120117708781535,0.0002078677345249985,3.5431837320894444e-05,True
20,1.0,2025-11-10 03:11:26.075268,2025-11-10 03:11:27.140862,1.065594,0.4358039287327201,0.000532428381374021,0.00042475101590208245,True
21,0.9946236559139785,2025-11-10 03:11:27.162274,2025-11-10 03:11:28.249973,1.087699,0.04675109765889867,0.00011694142954282297,1.249913851064973e-05,True
22,1.0,2025-11-10 03:11:28.273432,2025-11-10 03:11:29.347854,1.074422,0.09554302303319498,0.00010670362129103896,2.259298731752579e-05,True
23,1.0,2025-11-10 03:11:29.371286,2025-11-10 03:11:30.442858,1.071572,0.1963412605230634,0.00024129201545545383,2.1262548676191535e-05,True
24,1.0,2025-11-10 03:11:30.464501,2025-11-10 03:11:31.537084,1.072583,0.08543526389729944,0.0001421100333077604,1.1322583731508842e-05,True
25,1.0,2025-11-10 03:11:31.558746,2025-11-10 03:11:32.625712,1.066966,0.2859611886009608,0.0005323999241941506,0.00013963942162848435,True
26,1.0,2025-11-10 03:11:32.647314,2025-11-10 03:11:33.716493,1.069179,0.004803612068582291,0.0003055686453500811,0.0014019165339108858,False
27,1.0,2025-11-10 03:11:33.737930,2025-11-10 03:11:34.796803,1.058873,0.15928789220392203,0.0036670715216060197,2.7161963991590196e-05,True
28,1.0,2025-11-10 03:11:34.821352,2025-11-10 03:11:35.893123,1.071771,0.26217583222981555,0.0013285406300745576,1.0078065817115654e-05,True
29,1.0,2025-11-10 03:11:35.914777,2025-11-10 03:11:36.991690,1.076913,0.3404051388380658,0.0001813854350056912,0.0010940581527637996,True
