trial_number,value,datetime_start,datetime_complete,duration_seconds,dropout,lr,weight_decay,batch_norm
0,0.6363636363636364,2025-11-10 02:58:37.089798,2025-11-10 02:58:37.215827,0.126029,0.061291710509898845,0.004089325428814703,0.00020762224029495258,True
1,1.0,2025-11-10 02:58:37.238696,2025-11-10 02:58:37.384313,0.145617,0.18427886649524872,0.00043080098922246854,0.0001673685036052676,False
2,0.5454545454545454,2025-11-10 02:58:37.405717,2025-11-10 02:58:37.495241,0.089524,0.21754098555926515,0.0037135815741209262,0.0008304975624696782,True
3,0.5454545454545454,2025-11-10 02:58:37.503830,2025-11-10 02:58:37.596711,0.092881,0.3551583568973382,0.0019251592602489963,0.00017349863707398497,False
4,1.0,2025-11-10 02:58:37.605308,2025-11-10 02:58:37.731416,0.126108,0.4336510879763126,0.0023828727789205416,0.003972621557899325,True
5,1.0,2025-11-10 02:58:37.752941,2025-11-10 02:58:37.905312,0.152371,0.05087995861431821,0.00017825225412407896,0.0021663186446512226,True
6,0.9090909090909091,2025-11-10 02:58:37.926668,2025-11-10 02:58:38.066946,0.140278,0.3539707740421741,0.0007034698985005363,0.0050802113376994815,False
7,0.8181818181818182,2025-11-10 02:58:38.088326,2025-11-10 02:58:38.207812,0.119486,0.002645101852964016,0.0005667608633657474,0.0059741922663785,True
8,0.5454545454545454,2025-11-10 02:58:38.216484,2025-11-10 02:58:38.337086,0.120602,0.37090103095745347,0.0016791723047323806,0.00017368103824917137,False
9,0.9090909090909091,2025-11-10 02:58:38.358593,2025-11-10 02:58:38.506839,0.148246,0.4706658342704176,0.0028038046851150515,1.0579696782773982e-05,False
10,0.5454545454545454,2025-11-10 02:58:38.528316,2025-11-10 02:58:38.609545,0.081229,0.18058002356632538,0.00011010024104164467,3.3623447226493184e-05,False
11,0.6363636363636364,2025-11-10 02:58:38.618163,2025-11-10 02:58:38.711097,0.092934,0.49313850346506355,0.007629788314142557,0.0008100656120183587,True
12,0.9090909090909091,2025-11-10 02:58:38.719818,2025-11-10 02:58:38.857063,0.137245,0.15008159356132889,0.00041117197122776726,5.8151715413356634e-05,False
13,0.6363636363636364,2025-11-10 02:58:38.878500,2025-11-10 02:58:39.030755,0.152255,0.2569280186131855,0.00029845550071536266,0.0007369644294442505,True
14,0.5454545454545454,2025-11-10 02:58:39.052115,2025-11-10 02:58:39.142770,0.090655,0.3006944739150546,0.0012616148609490797,5.864075687514095e-05,False
15,0.5454545454545454,2025-11-10 02:58:39.151385,2025-11-10 02:58:39.222557,0.071172,0.13843452078843846,0.0009094505747151342,0.0021096817847675083,True
16,0.5454545454545454,2025-11-10 02:58:39.231311,2025-11-10 02:58:39.341707,0.110396,0.41428533355274794,0.007145461412765152,0.009176510586431786,True
17,0.45454545454545453,2025-11-10 02:58:39.350836,2025-11-10 02:58:39.485784,0.134948,0.2962936787198039,0.00025146509354314066,0.0004800814398800895,False
18,0.5454545454545454,2025-11-10 02:58:39.507222,2025-11-10 02:58:39.587404,0.080182,0.431764384787673,0.0005594926870927213,0.002079632317834787,True
19,0.6363636363636364,2025-11-10 02:58:39.596054,2025-11-10 02:58:39.726795,0.130741,0.11630655554139219,0.0011193437413810493,9.259312021623981e-05,False
20,0.5454545454545454,2025-11-10 02:58:39.748338,2025-11-10 02:58:39.883293,0.134955,0.21990885113619196,0.0018619151289380736,0.00035654325834127244,True
21,0.8181818181818182,2025-11-10 02:58:39.904935,2025-11-10 02:58:40.053563,0.148628,0.07370214309125028,0.000144287018844181,0.002407326795415046,True
22,0.8181818181818182,2025-11-10 02:58:40.074894,2025-11-10 02:58:40.222367,0.147473,0.014110633914711575,0.00023503409491991358,0.0034420911929684763,True
23,0.6363636363636364,2025-11-10 02:58:40.243863,2025-11-10 02:58:40.402353,0.15849,0.09913011994390365,0.00017540331608632617,0.0015580864814878437,True
24,0.5454545454545454,2025-11-10 02:58:40.423757,2025-11-10 02:58:40.515260,0.091503,0.1973154428923989,0.00034782576194285507,0.001155669210820491,True
25,1.0,2025-11-10 02:58:40.524193,2025-11-10 02:58:40.658525,0.134332,0.263703102397389,0.0004711758867149693,0.003590538138225619,True
26,0.8181818181818182,2025-11-10 02:58:40.679863,2025-11-10 02:58:40.828394,0.148531,0.04801432666571952,0.0001924501405113849,0.009786503673321496,False
27,0.7272727272727273,2025-11-10 02:58:40.849648,2025-11-10 02:58:41.004915,0.155267,0.32038810886271585,0.00010178999648028186,0.0004796780754917712,True
28,1.0,2025-11-10 02:58:41.026226,2025-11-10 02:58:41.167346,0.14112,0.17453177178497536,0.000754846593417838,2.0703449699374366e-05,False
29,0.8181818181818182,2025-11-10 02:58:41.188828,2025-11-10 02:58:41.327685,0.138857,0.04535149530962132,0.0028548323275273155,0.00028069829483525464,True
