trial_number,value,datetime_start,datetime_complete,duration_seconds,dropout,lr,weight_decay,batch_norm
0,0.9818181818181818,2025-11-10 03:47:53.365555,2025-11-10 03:47:53.713442,0.347887,0.03842212091045022,0.0031198731148722653,2.2272029547245313e-05,False
1,0.9636363636363636,2025-11-10 03:47:53.738536,2025-11-10 03:47:54.104614,0.366078,0.12653913637921543,0.0001262019227165683,2.189519795492592e-05,True
2,0.9636363636363636,2025-11-10 03:47:54.127974,2025-11-10 03:47:54.484752,0.356778,0.17396933939487436,0.0002577382064794596,6.595732025723857e-05,True
3,0.9818181818181818,2025-11-10 03:47:54.507789,2025-11-10 03:47:54.844230,0.336441,0.24815405296259002,0.003419973464230378,5.8909034990395755e-05,False
4,0.9818181818181818,2025-11-10 03:47:54.867344,2025-11-10 03:47:55.170265,0.302921,0.2823182182815179,0.006150997268506288,1.3615979638076796e-05,False
5,0.9636363636363636,2025-11-10 03:47:55.180853,2025-11-10 03:47:55.575732,0.394879,0.002366455414626323,0.000245016442366463,0.0042778477344944206,True
6,0.9636363636363636,2025-11-10 03:47:55.584736,2025-11-10 03:47:55.944829,0.360093,0.1467044147158708,0.00020732627670190138,0.0005059696071903142,False
7,0.9636363636363636,2025-11-10 03:47:55.966334,2025-11-10 03:47:56.223403,0.257069,0.14718397981763837,0.006488855185924602,0.004582009702551529,True
8,0.9818181818181818,2025-11-10 03:47:56.244773,2025-11-10 03:47:56.591132,0.346359,0.48447112842244006,0.005885896526327565,0.0002621780178413698,False
9,0.9636363636363636,2025-11-10 03:47:56.612648,2025-11-10 03:47:56.977354,0.364706,0.42392850896814394,0.00022923187080834166,0.0004143789428595048,False
10,1.0,2025-11-10 03:47:57.000418,2025-11-10 03:47:57.354684,0.354266,0.040263719623808154,0.0011637499091393176,0.00011149842585049626,False
11,0.9818181818181818,2025-11-10 03:47:57.377638,2025-11-10 03:47:57.725092,0.347454,0.005296637809816589,0.0013657799115217493,7.752931180939931e-05,False
12,0.9818181818181818,2025-11-10 03:47:57.746220,2025-11-10 03:47:58.093129,0.346909,0.06602764299116157,0.0011181931009779144,0.0001732254017967642,False
13,0.9818181818181818,2025-11-10 03:47:58.115937,2025-11-10 03:47:58.463748,0.347811,0.06855357127955967,0.002184722615656611,0.0011045384295473915,False
14,0.9636363636363636,2025-11-10 03:47:58.486575,2025-11-10 03:47:58.842538,0.355963,0.24618056880021336,0.0005565277546412387,2.446306923076147e-05,False
15,0.9636363636363636,2025-11-10 03:47:58.865688,2025-11-10 03:47:59.221984,0.356296,0.07298998854629499,0.0006026474324380806,1.029409712692448e-05,False
16,1.0,2025-11-10 03:47:59.245291,2025-11-10 03:47:59.590886,0.345595,0.3744173699129222,0.0024943815946058714,0.00013010903654384537,False
17,0.9636363636363636,2025-11-10 03:47:59.613967,2025-11-10 03:47:59.975225,0.361258,0.36588091839979897,0.0005944914934761066,0.0013787496885535766,False
18,0.9818181818181818,2025-11-10 03:47:59.998366,2025-11-10 03:48:00.350097,0.351731,0.3426264039151567,0.001488936102570858,0.00010184564666838107,True
19,0.9636363636363636,2025-11-10 03:48:00.373203,2025-11-10 03:48:00.613303,0.2401,0.3152031988125029,0.002357966629401758,0.0008325160325111854,False
20,0.9818181818181818,2025-11-10 03:48:00.636233,2025-11-10 03:48:00.986996,0.350763,0.42081896936354696,0.0007405591098659927,0.00014686831210872166,False
21,1.0,2025-11-10 03:48:00.995946,2025-11-10 03:48:01.333099,0.337153,0.19543286791421072,0.0031736397233182666,3.5802248286211497e-05,False
22,0.9818181818181818,2025-11-10 03:48:01.356679,2025-11-10 03:48:01.617187,0.260508,0.2080359521622391,0.0038524280520568404,4.405326626516826e-05,False
23,0.9818181818181818,2025-11-10 03:48:01.640553,2025-11-10 03:48:01.907915,0.267362,0.3926291116823071,0.001966725988258693,0.00021061911505045942,False
24,0.9818181818181818,2025-11-10 03:48:01.932277,2025-11-10 03:48:02.213840,0.281563,0.20000063343281985,0.008501911510567537,3.5562077834126605e-05,False
25,0.9818181818181818,2025-11-10 03:48:02.237141,2025-11-10 03:48:02.586254,0.349113,0.1070419221579938,0.0043470855859527825,0.0001268366304625079,False
26,0.9636363636363636,2025-11-10 03:48:02.609520,2025-11-10 03:48:02.960050,0.35053,0.2969595656393781,0.0009041212890368286,3.3782749298278964e-05,True
27,0.9818181818181818,2025-11-10 03:48:02.983208,2025-11-10 03:48:03.302340,0.319132,0.4672860814290357,0.0016594572936417815,0.00031876226873855533,False
28,0.9636363636363636,2025-11-10 03:48:03.325400,2025-11-10 03:48:03.627421,0.302021,0.21596199015683462,0.0026608058913100514,0.00010038364753103899,False
29,0.9818181818181818,2025-11-10 03:48:03.650525,2025-11-10 03:48:03.892596,0.242071,0.1067825141045807,0.009931541461180577,1.7347381199787693e-05,False
