trial_number,value,datetime_start,datetime_complete,duration_seconds,dropout,lr,weight_decay,batch_norm
0,0.9680365296803652,2025-11-10 03:09:19.471500,2025-11-10 03:09:20.218163,0.746663,0.48635320197109094,0.0007090463801953369,0.001157249787387835,False
1,0.9680365296803652,2025-11-10 03:09:20.242806,2025-11-10 03:09:21.058264,0.815458,0.4460774065281686,0.003210647279333073,1.3055993564442474e-05,False
2,0.9726027397260274,2025-11-10 03:09:21.081698,2025-11-10 03:09:21.807353,0.725655,0.4390802826433145,0.0016586910588601493,5.940610876669298e-05,True
3,0.9634703196347032,2025-11-10 03:09:21.830884,2025-11-10 03:09:23.044389,1.213505,0.15471091718033952,0.00011033264378461707,0.0014790277842158786,True
4,0.9680365296803652,2025-11-10 03:09:23.067679,2025-11-10 03:09:23.882060,0.814381,0.061173252024428526,0.007674697034001586,6.51369588380854e-05,False
5,0.9634703196347032,2025-11-10 03:09:23.905505,2025-11-10 03:09:24.812609,0.907104,0.2428940431098826,0.00028180157804471505,0.0008382928931350841,False
6,0.9680365296803652,2025-11-10 03:09:24.835954,2025-11-10 03:09:26.047337,1.211383,0.287066902893412,0.00018354921054839036,0.00021451116653919204,True
7,0.9680365296803652,2025-11-10 03:09:26.071699,2025-11-10 03:09:27.008504,0.936805,0.12856567850117728,0.0028560470906897084,0.00047865568526326077,False
8,0.9634703196347032,2025-11-10 03:09:27.031814,2025-11-10 03:09:27.706767,0.674953,0.3100412941599299,0.0013577616571965323,1.1905770788261378e-05,False
9,0.9680365296803652,2025-11-10 03:09:27.730042,2025-11-10 03:09:28.681987,0.951945,0.36123862446160515,0.007972823512276784,0.009627688727882335,False
10,0.9680365296803652,2025-11-10 03:09:28.705394,2025-11-10 03:09:29.751243,1.045849,0.3983587856589895,0.0007180383434328254,6.461462155094334e-05,True
11,0.958904109589041,2025-11-10 03:09:29.774686,2025-11-10 03:09:30.985244,1.210558,0.4963724173734134,0.0006948359959623451,0.004403078380288928,True
12,0.9680365296803652,2025-11-10 03:09:31.008590,2025-11-10 03:09:31.768977,0.760387,0.49876469377354615,0.001438009149599081,0.0001238619824660854,True
13,0.9680365296803652,2025-11-10 03:09:31.792218,2025-11-10 03:09:33.005435,1.213217,0.4019183890046444,0.00048706872727395363,0.0016911916295311328,True
14,0.954337899543379,2025-11-10 03:09:33.028808,2025-11-10 03:09:33.913346,0.884538,0.42567992505915486,0.002844628317154796,3.9498286406036786e-05,False
15,0.9634703196347032,2025-11-10 03:09:33.936704,2025-11-10 03:09:34.725527,0.788823,0.34400729990975054,0.00039114854373689494,0.000265624778536817,True
16,0.9726027397260274,2025-11-10 03:09:34.749076,2025-11-10 03:09:35.437048,0.687972,0.22022001755683385,0.0014400625319622678,3.0012371155406417e-05,True
17,0.9680365296803652,2025-11-10 03:09:35.460524,2025-11-10 03:09:36.148029,0.687505,0.2111665183656278,0.0017776435514585953,2.0843642625641872e-05,True
18,0.9680365296803652,2025-11-10 03:09:36.171379,2025-11-10 03:09:36.981772,0.810393,0.19544270833660898,0.004220678990550212,3.972594708342768e-05,True
19,0.9726027397260274,2025-11-10 03:09:37.005192,2025-11-10 03:09:37.651238,0.646046,0.02743213976618733,0.0019180722840370082,0.00013766745358196442,True
20,0.9634703196347032,2025-11-10 03:09:37.674625,2025-11-10 03:09:38.328645,0.65402,0.10994574686860772,0.00421062080623575,3.1065479649720375e-05,True
21,0.9680365296803652,2025-11-10 03:09:38.351983,2025-11-10 03:09:39.112824,0.760841,0.017587521902261927,0.0018154040873013322,0.00012744916055177315,True
22,0.9634703196347032,2025-11-10 03:09:39.136208,2025-11-10 03:09:39.931241,0.795033,0.07355870737685326,0.0010369990722414566,0.00010271915634420735,True
23,0.954337899543379,2025-11-10 03:09:39.954640,2025-11-10 03:09:40.831557,0.876917,0.021026756626807308,0.00218140658867333,6.641041395780577e-05,True
24,0.9680365296803652,2025-11-10 03:09:40.855008,2025-11-10 03:09:41.644110,0.789102,0.2639206988653134,0.0010997351595879456,2.3641121366530005e-05,True
25,0.9680365296803652,2025-11-10 03:09:41.667537,2025-11-10 03:09:42.335269,0.667732,0.1780425772875514,0.005516907849328959,0.000492856774165421,True
26,0.958904109589041,2025-11-10 03:09:42.358707,2025-11-10 03:09:43.076011,0.717304,0.22848510085502985,0.002181821478865658,0.00011712015180854684,True
27,0.9634703196347032,2025-11-10 03:09:43.100339,2025-11-10 03:09:43.920183,0.819844,0.3311800208601896,0.0009189751596772653,0.00022874558018580728,True
28,0.9634703196347032,2025-11-10 03:09:43.943483,2025-11-10 03:09:44.824013,0.88053,0.0918291684952644,0.0013966567521362973,1.911009376710424e-05,True
29,0.9680365296803652,2025-11-10 03:09:44.847336,2025-11-10 03:09:45.728173,0.880837,0.4516159278598245,0.0007239367446912769,7.489670550004784e-05,True
